# Created by Octave 4.0.0, Sat Apr 28 10:18:53 2018 CEST <olethros@olethros-OptiPlex-9010>
# name: PU
# type: matrix
# rows: 1000
# columns: 2
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
 0.5 0.5
