# Created by Octave 4.0.0, Tue May 01 19:52:28 2018 CEST <olethros@olethros-OptiPlex-9010>
# name: results
# type: struct
# ndims: 2
 1 5
# length: 3
# name: PU
# type: cell
# rows: 1
# columns: 5
# name: <cell-element>
# type: matrix
# rows: 601
# columns: 2
 -0.2293686085037718 -0.2293541335063805
 -0.2296345208887006 -0.2293541335063805
 -0.2294847193541813 -0.2293541335063805
 -0.2323279451210045 -0.2293541335063805
 -0.2364190113549145 -0.2293541335063805
 -0.2306077574910863 -0.2293541335063805
 -0.2325688040608202 -0.229366278371853
 -0.2329471059831731 -0.22949982491561
 -0.231297610821617 -0.2296413243353875
 -0.2323084737491153 -0.2309014926729516
 -0.2328429320119064 -0.2305869888516604
 -0.2394653054399399 -0.231168068380475
 -0.2364147488078368 -0.2357412328715814
 -0.2348363458731781 -0.2318157824903849
 -0.241116036766763 -0.232015777664716
 -0.2351043534909516 -0.2324843194833933
 -0.2362385030628821 -0.2344632582754635
 -0.2367354607162204 -0.2343932937890152
 -0.2356542655781251 -0.2340246559390168
 -0.2374385381953992 -0.2374460375163236
 -0.2365655756538709 -0.2353203334623033
 -0.2370193098147599 -0.2361803248678471
 -0.2366386886165764 -0.2352860976237885
 -0.2369472274540168 -0.2378799933466541
 -0.236008340069249 -0.2410274237253883
 -0.2426093022519977 -0.2388161803547439
 -0.2388991980081065 -0.237684352048636
 -0.2394806564631171 -0.2357197423535305
 -0.2405125348075513 -0.2363700274912564
 -0.2383050521865185 -0.2386547167247929
 -0.2390173678817078 -0.2388664270301504
 -0.238572654820605 -0.2409144267463496
 -0.2380348158539816 -0.2395980780929438
 -0.2399196764406215 -0.2371351340054343
 -0.2397698256502184 -0.2400544074056626
 -0.240279188340024 -0.240443677898258
 -0.2374743441031966 -0.2404641674464938
 -0.23912423956115 -0.2404752322429521
 -0.2413975627167952 -0.2388534408372929
 -0.2391757650038329 -0.2397013938077225
 -0.2385826181507952 -0.2402491396250322
 -0.2389387693872765 -0.2395866056741031
 -0.2407889504485614 -0.2376289303895928
 -0.2414338880695413 -0.2409524754957365
 -0.2400651993639792 -0.2401322134263645
 -0.2383566762619295 -0.2408145898040247
 -0.2408551255950387 -0.2400625918719654
 -0.2407653461726182 -0.2401626684652055
 -0.2407065747581154 -0.2414114116846601
 -0.2390884696688221 -0.244560728515226
 -0.2415581730798539 -0.2383745236925284
 -0.2432988553856298 -0.2407764583683991
 -0.2432195692793768 -0.2415555529277805
 -0.2430177500964394 -0.241785524336379
 -0.2413196796907677 -0.2398438598223883
 -0.2424675154492402 -0.241784959533602
 -0.2426561809728121 -0.2414877029495866
 -0.2428760203073833 -0.2411555859527989
 -0.2439581391243898 -0.2440780739686712
 -0.2408691679835899 -0.242530866394589
 -0.2427786241302076 -0.2398994753643345
 -0.2442939488356399 -0.240972464391398
 -0.2419155344663691 -0.2424325864577332
 -0.2423026861639077 -0.2423120302527031
 -0.2437632407579392 -0.2409559623160938
 -0.2419738591296946 -0.242193295335053
 -0.2421992233717561 -0.2408946103667653
 -0.2438517115769056 -0.246245917721504
 -0.2426927641714366 -0.2412389730202393
 -0.2413026970266977 -0.2411417127770754
 -0.2425352267501879 -0.2417633816596718
 -0.2429206035994118 -0.2427396998555841
 -0.2443538762521573 -0.2428308986497741
 -0.2420391699806202 -0.2434602288150664
 -0.2421032899908033 -0.2446682442869338
 -0.2430182372825164 -0.2429228607405803
 -0.2439392945990608 -0.2431345311673551
 -0.2423749136249631 -0.2456147889167689
 -0.2419052572501279 -0.2450372090278977
 -0.2413259055290652 -0.2420138549248625
 -0.2453535110173562 -0.241576195892115
 -0.243040890322144 -0.2445231540038697
 -0.2421867290858221 -0.2421581087708584
 -0.2424415417874454 -0.2435227377472682
 -0.2444711245768231 -0.2441872076356969
 -0.2421980907292811 -0.2437537571108261
 -0.2446235740082685 -0.2430460482696766
 -0.2429950310035795 -0.2424982304392961
 -0.2438830609939768 -0.243324524091447
 -0.2448812502655222 -0.2423828767205631
 -0.2431842097859583 -0.2446760079973212
 -0.2439266542542131 -0.243265038641395
 -0.2459618639364541 -0.2423736486502071
 -0.242758014012768 -0.2431351260678802
 -0.2448415465778658 -0.2423922593320968
 -0.2425135428912823 -0.2426175480918431
 -0.2450076729456515 -0.2434505013515668
 -0.2459792286950427 -0.2454513588134259
 -0.2440505959147612 -0.2432047405726711
 -0.2419379305228337 -0.2418548766144766
 -0.2450683868230857 -0.2434314413605582
 -0.2428370033535908 -0.2444219654002859
 -0.2467725859103415 -0.2446650185341623
 -0.2446441511259564 -0.2449615862149025
 -0.2446430835931924 -0.2447544412119665
 -0.243511658431614 -0.244125626510043
 -0.2448850734850607 -0.2428902518287393
 -0.2432154610406607 -0.2445963591093222
 -0.2442410125723179 -0.2458800688604365
 -0.242271037870473 -0.2448092745032383
 -0.2448291655276407 -0.2446267233204236
 -0.2429507602651704 -0.2457019904727649
 -0.2443463377192495 -0.243588429077158
 -0.2452160807716647 -0.2438598436833348
 -0.245659057944485 -0.2447972627937418
 -0.2421518924280744 -0.244291344236658
 -0.2464811890936339 -0.2460136271594945
 -0.2425990682022176 -0.2434989881163463
 -0.2432311248845627 -0.2449777304081135
 -0.2448608522174296 -0.2463120437884602
 -0.2463487683634553 -0.2437856624863727
 -0.2440545168380474 -0.2429953944770648
 -0.2441053116720156 -0.2448590398656623
 -0.2425503528338227 -0.2458070237252414
 -0.2444606279052309 -0.2433485775531815
 -0.2419653470276338 -0.2442981115495715
 -0.2444004295672329 -0.246520779054072
 -0.2445199928988076 -0.2453818423107569
 -0.2464237802524333 -0.2433050495532576
 -0.2444476873118892 -0.2454097601700505
 -0.2461431990581225 -0.2450667598891635
 -0.2449885659606444 -0.2457827740858102
 -0.2450598159508476 -0.2448623313546144
 -0.2433262623111162 -0.2433398381068084
 -0.2460936294109661 -0.2437921764574054
 -0.2448520870612334 -0.2455826448913448
 -0.2443077804262997 -0.245653288677953
 -0.2476576829579145 -0.2426641184180864
 -0.2452368226757357 -0.2448632078680928
 -0.2439058679341337 -0.2447891311828698
 -0.2470416389195195 -0.2427483572438862
 -0.2443849038108364 -0.2440611023484687
 -0.2445069444699224 -0.2455493861547524
 -0.243543395941505 -0.2444033388583205
 -0.2448504676363432 -0.2440223192262021
 -0.2446984697904635 -0.2430893454489699
 -0.2454715336824356 -0.2473406877434252
 -0.2438428782690842 -0.2445129010793004
 -0.2433838268450614 -0.2433717751851797
 -0.2467419540246625 -0.246500279769386
 -0.2447942615746776 -0.2465234356274337
 -0.2437714961258226 -0.2443227406735353
 -0.245681488094938 -0.2463857600839369
 -0.2433049868237205 -0.2436701395724568
 -0.2438145783079239 -0.2467812550205668
 -0.2454548823714279 -0.2450100877294746
 -0.2463942760585786 -0.2447457221452595
 -0.2448530018289717 -0.2444864419556729
 -0.2433653954218168 -0.2460595004629965
 -0.2441739458205612 -0.2472596356091132
 -0.2447035491429873 -0.2433375261086685
 -0.2440916196487296 -0.2451828525313173
 -0.2407919067340893 -0.2457229965518161
 -0.2472778673409724 -0.2440032661944272
 -0.2441551158318903 -0.2432556469372442
 -0.245607704394159 -0.243425278195076
 -0.2448861465944245 -0.2447968990410723
 -0.2432368844127005 -0.2438862667417113
 -0.2440843082560256 -0.2442114381342083
 -0.244225844921733 -0.2421057688875372
 -0.2463839978884009 -0.2471831855670391
 -0.2447823644531286 -0.2441499740194042
 -0.2433463645025739 -0.2457435137331214
 -0.2428061707500526 -0.2433175514035917
 -0.245437421273415 -0.2441159839403383
 -0.2447372646573218 -0.2440035878321175
 -0.2403818514042693 -0.2452889527166168
 -0.2436743042717062 -0.2439819161247763
 -0.2444749983972295 -0.2459485833074413
 -0.2459049393532634 -0.2440475113069547
 -0.2451193260773699 -0.2436709636042514
 -0.2449839927085256 -0.244212234597393
 -0.2439260681553474 -0.2445530759168305
 -0.2460893299212257 -0.2463228419965096
 -0.2425306782572866 -0.2444368073264743
 -0.2437579892516615 -0.2445647468215183
 -0.2444759063744226 -0.2445301369376838
 -0.2422958900775551 -0.2432075625211678
 -0.244763904815704 -0.2456164445922205
 -0.243769739597937 -0.2439163613191103
 -0.2446472215790652 -0.2453577698619459
 -0.2442215767745453 -0.243122939768646
 -0.245600890576007 -0.244261203660274
 -0.245290033607797 -0.2445357629697545
 -0.2429110855171392 -0.2427101362406362
 -0.2437602303184552 -0.2428422487250982
 -0.2422980215234732 -0.2455887340528226
 -0.24367797239826 -0.2442095821604023
 -0.2439852843874477 -0.2450637430503916
 -0.2443026373232537 -0.2463793737518238
 -0.2439488292055441 -0.2438547283980757
 -0.2457245100736859 -0.2452416658341521
 -0.2438106385835249 -0.2440517243968046
 -0.2441903761378524 -0.2459816969711112
 -0.2446428669057957 -0.2424425931793379
 -0.244184897544835 -0.2453079559734761
 -0.2456958536528444 -0.2443429653734657
 -0.2452280455725677 -0.2444894420058444
 -0.243577482285087 -0.2440555160005775
 -0.244181916011194 -0.2463867074067695
 -0.2449544675718156 -0.2440146708675
 -0.2451011118891896 -0.2447462157832614
 -0.2427788644917896 -0.2467172361367757
 -0.2448644468913867 -0.2439687646025545
 -0.245512376366695 -0.2445678883535324
 -0.2452930212305383 -0.243265478123048
 -0.2444513000196239 -0.2468022163163968
 -0.2467060657647711 -0.2451365685389582
 -0.2443001085305115 -0.2456994937393775
 -0.244623685852355 -0.2448617693435174
 -0.2458123874782489 -0.244768141551395
 -0.2448669894031799 -0.2448306139100377
 -0.2443967337803147 -0.246551763422171
 -0.2434574361499918 -0.2431652727867682
 -0.2434912697518783 -0.2418169486490714
 -0.2463465140634626 -0.2464562091085557
 -0.2461835567223246 -0.2457163347238135
 -0.2441516752544924 -0.2460461481008784
 -0.2431682016500434 -0.2465305088980332
 -0.2441976890480408 -0.24385912367904
 -0.2455369494226466 -0.2446571243196808
 -0.2441859261742584 -0.2444089839353187
 -0.2433965711545818 -0.244156609018931
 -0.2459859343359562 -0.2461336103595596
 -0.2457955595253927 -0.2417260479776526
 -0.244733609588613 -0.2431013165817723
 -0.2438337335729846 -0.2439258198604722
 -0.2434102184214466 -0.2416565514387347
 -0.243085772934182 -0.2433665278789856
 -0.2455688736347402 -0.2467600210236589
 -0.2430478273411283 -0.2465498911544456
 -0.2441968166606817 -0.2430780077749258
 -0.2432738388286084 -0.2448559477668533
 -0.2444671414113214 -0.2451257192048543
 -0.2464926628763079 -0.2431070232255637
 -0.2459515045653443 -0.2459027883275405
 -0.2428299668573641 -0.245642674725092
 -0.246119809423321 -0.2438759356178815
 -0.2428356588075221 -0.2455781514027336
 -0.2464818000203219 -0.2444804845193447
 -0.2447925102589246 -0.2463130706220258
 -0.245727124566269 -0.2424011833320752
 -0.2434619347259454 -0.2445243170797819
 -0.2439075548680002 -0.2448758782253919
 -0.2459824358033648 -0.2462519522911218
 -0.2459023153413652 -0.2446432742677272
 -0.2468291762251423 -0.2455699184945908
 -0.2454271022264462 -0.2466510151697564
 -0.2457762974042888 -0.2449942948760321
 -0.2463552251304325 -0.2456520584995344
 -0.2417566394626789 -0.2455204534243949
 -0.2438648067567914 -0.2442594624523972
 -0.2438282279877263 -0.2438979155375841
 -0.2426877852153723 -0.2454733565238381
 -0.2455076188509624 -0.2462887079746411
 -0.243982540677999 -0.2457220560559393
 -0.2456104550933759 -0.2456051196104356
 -0.2449922633431104 -0.2449930646629798
 -0.2462109012393296 -0.2455409949534443
 -0.2444501389818059 -0.2440731712587874
 -0.2461905365748971 -0.2470410510703944
 -0.2455572267186485 -0.2452589168878086
 -0.2460047230078332 -0.242507408666398
 -0.2461632584704337 -0.243599348067289
 -0.2460539730346239 -0.2430128521603029
 -0.2456984052969399 -0.2442974985419815
 -0.2447316781585105 -0.2461484624836534
 -0.2461747380627544 -0.2457811093070842
 -0.2443274250612515 -0.2455763633737914
 -0.2443355316329358 -0.2435751237461231
 -0.243953480600327 -0.2446111203872555
 -0.2447650417102396 -0.2426301584090115
 -0.2459616976200578 -0.2438991276248306
 -0.2438539474361265 -0.246747385672257
 -0.2447167366644973 -0.2436829096786924
 -0.245665930987297 -0.2454117652144745
 -0.2460488472917692 -0.2451753754739105
 -0.2438564182429376 -0.2460409662417244
 -0.2432676587007838 -0.2457639396240945
 -0.2465636870343303 -0.2447333465547368
 -0.2457027883080097 -0.2452770030887672
 -0.2436098623384635 -0.2451274640187251
 -0.2444261500870044 -0.2453309144632852
 -0.2452168313498663 -0.2445410554267096
 -0.2459390032696245 -0.2444342755256519
 -0.2451500365914057 -0.2449356521171751
 -0.2460236119294122 -0.2460727834869629
 -0.2462420728505651 -0.2439053434149121
 -0.244582943287189 -0.2451983211397596
 -0.2454442746071473 -0.2445585024028655
 -0.2448165306706367 -0.2472128088389214
 -0.2455998562946007 -0.2460514499087391
 -0.2443426703783471 -0.2452235738733315
 -0.2451442951013786 -0.2462005989907818
 -0.2464511192855744 -0.2436547516398147
 -0.2468084040648063 -0.2450174608334145
 -0.2451060598820099 -0.2460220062334786
 -0.2458804544265714 -0.2423051646494084
 -0.244147838257525 -0.2447614376889659
 -0.2448858168181365 -0.2442049022688774
 -0.2447821304605508 -0.2451566825623715
 -0.2448850191116457 -0.243536173726986
 -0.2470780385966343 -0.2463234943455651
 -0.2451509905960436 -0.2438621359720858
 -0.2448301318578155 -0.2437009280924735
 -0.2473001517988777 -0.245352402044563
 -0.2439554737054128 -0.2463708524111216
 -0.2462528737997529 -0.2473531643713603
 -0.2448101159132786 -0.2460239410713531
 -0.2458208968875055 -0.2460859353867012
 -0.2455274536342415 -0.2446829724717234
 -0.2455617524770888 -0.2448963583963618
 -0.2447011638993876 -0.2428361444035373
 -0.2456035340595955 -0.243222807175994
 -0.245782558256353 -0.2457447075160058
 -0.2448408495065625 -0.2444031253708286
 -0.244067777248296 -0.2475634709165751
 -0.2439846575042368 -0.2452887090326387
 -0.2465740007461543 -0.2455626014222614
 -0.246568931108337 -0.2436039062722754
 -0.2429293040859813 -0.2427763242743756
 -0.2460711094723139 -0.242992111409498
 -0.2458741854101087 -0.2446890341438258
 -0.2463148903960656 -0.246563361963109
 -0.2439638875853826 -0.2443562437901864
 -0.2457230169088048 -0.2451925852831994
 -0.2441456159705821 -0.2434698980142896
 -0.244684011929484 -0.2456967399339862
 -0.2459449458653462 -0.2460813471951278
 -0.2446200733418256 -0.2455187818043448
 -0.2439781185830456 -0.2450523777479043
 -0.2439098874354804 -0.2463335892287029
 -0.245518135245229 -0.2462621547703344
 -0.2440035564519682 -0.2475549404628984
 -0.2447180155739169 -0.2434777297718196
 -0.2435312958876107 -0.2425444751610188
 -0.245236106365639 -0.2434391356534066
 -0.2471586082758375 -0.2465112532759989
 -0.2456173307163505 -0.2437802924591353
 -0.243181824382122 -0.2430809828247777
 -0.2448446989873339 -0.2445155467359273
 -0.2445955236953306 -0.244973303594454
 -0.246311528432516 -0.2421197643042592
 -0.2449068459173817 -0.2414304061284716
 -0.2425846391916182 -0.2467109108954905
 -0.2448502779048283 -0.2452244956730992
 -0.2431320408908099 -0.2440379577900101
 -0.2432674938046207 -0.2452128034973906
 -0.245290948835469 -0.2462412391441814
 -0.2465258315999908 -0.2463297431952539
 -0.2472495441446493 -0.2463052744046963
 -0.2430656031546912 -0.2441565681863666
 -0.2441470665760081 -0.2474135960926137
 -0.2447283120975216 -0.2461027089872135
 -0.2437964759633932 -0.2436051102468767
 -0.2452154795181565 -0.2436963751330011
 -0.245533677311255 -0.2467124017228449
 -0.2430556677998723 -0.2452036969798507
 -0.2450728525938328 -0.2434442038032279
 -0.2454227836627705 -0.2458534846579615
 -0.2454708468178987 -0.2468579600975631
 -0.2432915857779595 -0.2467196156724931
 -0.2476462597174775 -0.2469830423441167
 -0.245617078019896 -0.2465503115181943
 -0.2466963221688059 -0.2463642340532161
 -0.2458117257844334 -0.2455298892981778
 -0.2453791138611967 -0.243465113577824
 -0.2458127172061552 -0.2472829053308533
 -0.2456213421439406 -0.2462629998352992
 -0.2432917041728523 -0.2462676230932472
 -0.2463507118079099 -0.244557214435376
 -0.2443082758754814 -0.2437963607593044
 -0.247007517395178 -0.244894484516455
 -0.2452428064004434 -0.2450774630808852
 -0.244158196474439 -0.2461222295075154
 -0.2449104404568218 -0.242796469220169
 -0.2473389219718019 -0.2459131370969551
 -0.2458929948345459 -0.2455224839444443
